mvostrikov-smoke-th-testharness,77188602-1dfe-4ead-928e-938372197e59
mvostrikov-smoke-th-transcoder,808b1450-03e6-466b-a91b-5f8c0e3ed468
mvostrikov-smoke-th-udc,138d4278-122b-4724-bf08-3c3c63fe9454
mvostrikov-th-csm,0109329d-3d6d-4a4f-839b-26d003abe26a
mvostrikov-th-psm,415eec77-5e69-46b1-bf40-86164c45253d
mvostrikov-th-stitcher,9e2030b4-27ea-40f0-88dc-f7ccdaa40a22
mvostrikov-th-testharness,671be0a1-7bb7-4c53-89da-0b76369a0d10
mvostrikov-th-transcoder,b494d12c-3dbe-49f9-8f9f-4f5b306aa848
mvostrikov-th-udc,5b643dc8-8e31-453c-92c3-b241a6f8a751
mvostrikov-ubuntu-test,b31c542b-5b58-4980-a4a6-5829f65b589d
navid-k8s-1,ec496027-addc-49b9-8ab6-47ac5c1612aa
navid-k8s-2,9f7f6555-817b-4274-9a6a-b0800b5bee19
obalas-performance,7333b6a9-fdd2-40de-9d30-aa0e3ff92481
onur-78-dev-2,ebffe1aa-1927-4c77-86ed-61eeaee6c0ea
onur-ov-csm,dccaf437-cef6-4594-a8af-5f06da839c00
pbeyer-appcloud-kythe,3f63f4c5-75fa-4d7a-8718-8b000eada735
pbeyer-redroid,792ff662-a781-4814-8f3f-8da14aaeff19
rux-master-csm,72e85dd4-de00-429c-bc4b-85117c7dfce9
rux-master-meteo,1b2d4d8d-2c54-45ee-89c8-cc77cbdb212a
rux-master-stitcher,0f7bcb66-1990-4917-92e7-00d5319eccc1
rux-misc,a1491b08-0fe1-4f4f-a28a-f3da1615095d
servsym-assets-new,1c694e07-e4e2-498b-a147-4e46ebe8afd7
srmrtsp-stub-211,6365fea1-ff0b-4024-9dd5-bd2279eb013c
stitcher-longevity-stitcher-2,362d4d0e-b840-4dc2-abce-9f05ff400247
sum-meteo12,9c7a8918-b63b-4e41-b600-d96639b8f81f
suma-0005,ec6a25d3-abd3-414e-8f3f-383aef1f5ef9
suma-ac-test1,52a6e08b-2516-436a-ab89-b90e0580dc9a
suma-cobra,de4f7fb8-6400-412f-897c-ce026fbefc18
suma-meteo,f7c647d6-f12d-443c-b539-1d6c9a7d4818
suma-testharness-223,7b19f4f9-d937-46de-8648-e9cfbb4f5520
sungureanu-connector,42a1449d-edc3-4528-8c87-f60c32a62559
